second,Volt,Volt
-6.2640E-03,+345.7286E-03,-321.6E-06
-6.2540E-03,+345.7286E-03,-402.0E-06
-6.2440E-03,+337.6884E-03,-402.0E-06
-6.2340E-03,+337.6884E-03,-241.2E-06
-6.2240E-03,+337.6884E-03,-241.2E-06
-6.2140E-03,+337.6884E-03,-241.2E-06
-6.2040E-03,+329.6482E-03,-562.8E-06
-6.1940E-03,+329.6482E-03,-884.4E-06
-6.1840E-03,+321.6080E-03,-241.2E-06
-6.1740E-03,+329.6482E-03,-0.0E+00
-6.1640E-03,+321.6080E-03,-321.6E-06
-6.1540E-03,+321.6080E-03,-321.6E-06
-6.1440E-03,+313.5678E-03,-80.4E-06
-6.1340E-03,+321.6080E-03,-160.8E-06
-6.1240E-03,+313.5678E-03,-562.8E-06
-6.1140E-03,+313.5678E-03,-482.4E-06
-6.1040E-03,+313.5678E-03,-402.0E-06
-6.0940E-03,+305.5276E-03,-643.2E-06
-6.0840E-03,+305.5276E-03,-562.8E-06
-6.0740E-03,+305.5276E-03,-723.6E-06
-6.0640E-03,+305.5276E-03,-482.4E-06
-6.0540E-03,+297.4874E-03,-241.2E-06
-6.0440E-03,+297.4874E-03,-643.2E-06
-6.0340E-03,+289.4472E-03,-241.2E-06
-6.0240E-03,+289.4472E-03,-80.4E-06
-6.0140E-03,+281.4070E-03,-80.4E-06
-6.0040E-03,+281.4070E-03,-402.0E-06
-5.9940E-03,+281.4070E-03,-482.4E-06
-5.9840E-03,+281.4070E-03,-402.0E-06
-5.9740E-03,+273.3668E-03,-321.6E-06
-5.9640E-03,+281.4070E-03,-402.0E-06
-5.9540E-03,+273.3668E-03,-643.2E-06
-5.9440E-03,+265.3266E-03,-643.2E-06
-5.9340E-03,+273.3668E-03,-482.4E-06
-5.9240E-03,+265.3266E-03,-241.2E-06
-5.9140E-03,+265.3266E-03,-321.6E-06
-5.9040E-03,+257.2864E-03,-482.4E-06
-5.8940E-03,+257.2864E-03,-402.0E-06
-5.8840E-03,+257.2864E-03,-241.2E-06
-5.8740E-03,+249.2462E-03,-321.6E-06
-5.8640E-03,+249.2462E-03,-402.0E-06
-5.8540E-03,+249.2462E-03,-241.2E-06
